active,passive,verb
(Note: This sentence does not directly follow standard passive voice constructions, as ""cost"" is typically used intransitively in this context. A more natural passive voice would be ""A lot of money was spent on the car,"" if that fits your needs.)",cost
The meal cost an arm and a leg.,The meal was cost an arm and a leg.,cost
The dress cost a fortune.,The fortune was cost by the dress.,cost
The ticket cost fifty euros.,The ticket was costed at fifty euros.,cost
The repair cost more than expected.,The repair was costlier than expected.,cost
The gadget cost less than anticipated.,The gadget was costed less than anticipated.,cost
The painting cost a small fortune.,The small fortune was cost by the painting.,cost
The project cost the company millions.,The company was cost millions by the project.,cost
The meeting lasted two hours.  ,The meeting was lasted for two hours.,last
The movie lasted three hours.  ,The movie was lasted for three hours.,last
The game lasted five sets.  ,The game was lasted by five sets.,last
The concert lasted until midnight.  ,The concert was lasted until midnight.,last
The storm lasted all night.  ,The storm was lasted all night.,last
The lecture lasted for thirty minutes.  ,The lecture was lasted for thirty minutes.,last
The performance lasted two acts.  ,The performance was lasted by two acts.,last
The event lasted all day.  ,The event was lasted all day.,last
The trip lasted a week.  ,"The trip was lasted by a week. 

(Note: This sentence is not grammatically correct in the context of English grammar as ""lasted"" is an intransitive verb and cannot be made passive like this. A more natural approach would simply retain the sentence in its form or rephrase it, but the task was to passivize it.)",last
The child took the toy.  ,The toy was taken by the child.,"take (i.e., carry on for a certiain length of time)"
A woman took the book.  ,The book was taken by a woman.,"take (i.e., carry on for a certiain length of time)"
The student took a pencil.  ,The pencil was taken by the student.,"take (i.e., carry on for a certiain length of time)"
John took the bus.  ,The bus was taken by John.,"take (i.e., carry on for a certiain length of time)"
The artist took a canvas.  ,The canvas was taken by the artist.,"take (i.e., carry on for a certiain length of time)"
The chef took a knife.  ,The knife was taken by the chef.,"take (i.e., carry on for a certiain length of time)"
The runner took a shortcut.  ,The shortcut was taken by the runner.,"take (i.e., carry on for a certiain length of time)"
The gardener took the shears.  ,The shears were taken by the gardener.,"take (i.e., carry on for a certiain length of time)"
The teacher took the class.  ,The class was taken by the teacher.,"take (i.e., carry on for a certiain length of time)"
The bus carried twenty passengers.  ,The passengers were carried by the bus.,"carry (i.e., hold a certain number of people)"
The truck carried heavy cargo.  ,The heavy cargo was carried by the truck.,"carry (i.e., hold a certain number of people)"
The elevator carried several workers.  ,The elevator was operated by several workers.,"carry (i.e., hold a certain number of people)"
The ship carried many tourists.  ,The tourists were carried by the ship.,"carry (i.e., hold a certain number of people)"
The train carried oversized equipment.  ,The oversized equipment was carried by the train.,"carry (i.e., hold a certain number of people)"
The airplane carried multiple bags.  ,The multiple bags were carried by the airplane.,"carry (i.e., hold a certain number of people)"
The ferry carried cars and bicycles.  ,The cars and bicycles were carried by the ferry.,"carry (i.e., hold a certain number of people)"
The gondola carried sightseers up the mountain.  ,The sightseers were carried up the mountain by the gondola.,"carry (i.e., hold a certain number of people)"
The jeep carried four friends on an adventure.  ,The jeep was driven by four friends on an adventure.,"carry (i.e., hold a certain number of people)"
The sweater fitted the child.  ,The child was fitted by the sweater.,fit
The key fitted the lock.  ,The lock was fitted by the key.,fit
The shoes fitted her feet.  ,The shoes were fitted to her feet.,fit
The table fit the dining room.  ,The dining room was fitted by the table.,fit
The puzzle fitted the box.  ,The box was fitted by the puzzle.,fit
The dress fitted the mannequin.  ,The mannequin was fitted by the dress.,fit
The couch fit the living room.  ,The living room was fit by the couch.,fit
The project fit the requirements.  ,The requirements were fit by the project.,fit
The car fitted the garage.  ,The garage was fitted by the car.,fit
The dinner fed eight guests.  ,The dinner was eaten by eight guests.,"feed (i.e., be enough for a certain number of people)"
The picnic fed five friends.  ,The picnic was enjoyed by five friends.,"feed (i.e., be enough for a certain number of people)"
The buffet fed ten children.  ,The ten children were fed by the buffet.,"feed (i.e., be enough for a certain number of people)"
